model,labeling,split_percent,pretrain,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
BEN,balanced,100,False,0.3943890631198883,1889.0,554.0,1479.0,142.0,0.8287401795387268,0.7732296586036682,0.930083692073822,0.8952392339706421,0.8444345198245908,0.8192858319728084
BEN,expanded,100,False,0.4597494006156921,5007.0,1836.0,3652.0,481.0,0.7889030575752258,0.731696605682373,0.9123542308807372,0.8606246709823608,0.812099576325676,0.7834045970455943
BEN,expanded,1,False,0.6327643394470215,4655.0,1811.0,3677.0,833.0,0.7591108083724976,0.7199195623397827,0.8482142686843872,0.8159523606300354,0.7788187882953861,0.7581433053730231
BEN,expanded,3,False,0.5074321031570435,5027.0,2054.0,3437.0,458.0,0.771136999130249,0.7099279761314392,0.9164995551109314,0.8318609595298767,0.8000954998446939,0.7675981090181403
BEN,expanded,10,False,0.4825171530246734,4336.0,1408.0,4084.0,1148.0,0.7671282887458801,0.7548746466636658,0.7906637787818909,0.8418410420417786,0.7723548386908268,0.766438846206521
BEN,balanced,3,False,0.468172162771225,1602.0,472.0,1560.0,430.0,0.7780511975288391,0.7724204659461975,0.788385808467865,0.864622175693512,0.7803214832035804,0.7776699120853351
BEN,balanced,1,False,0.6017438173294067,1736.0,718.0,1313.0,297.0,0.7502460479736328,0.7074164748191833,0.853910505771637,0.7994433045387268,0.7737909705184901,0.7503241770818356
BEN,balanced,25,False,0.4292564988136291,1755.0,500.0,1531.0,278.0,0.8085629940032959,0.7782704830169678,0.8632562756538391,0.8803722262382507,0.8185634197819065,0.8046767357656859
BEN,expanded,25,False,0.4678708612918854,4880.0,1690.0,3795.0,611.0,0.7903608083724976,0.7427701950073242,0.8887270092964172,0.8556759357452393,0.8092198163282651,0.785787149938207
BEN,expanded,50,False,0.4741452038288116,4275.0,1234.0,4255.0,1212.0,0.7771501541137695,0.7760028839111328,0.7791142463684082,0.8543850779533386,0.7775554526487073,0.7770372399153802
BEN,balanced,10,False,0.4148220419883728,1773.0,538.0,1492.0,261.0,0.803395688533783,0.7672003507614136,0.8716813921928406,0.8825094103813171,0.8161104640009543,0.7991286024400602
BEN,balanced,50,False,0.4209944307804107,1685.0,414.0,1618.0,347.0,0.8127460479736328,0.8027632236480713,0.8292322754859924,0.8908094167709351,0.8157831010874342,0.8113964682422647
CA_sgd,expanded,100,False,0.4240373373031616,4861.0,1449.0,4040.0,626.0,0.8109511733055115,0.77036452293396,0.8859121799468994,0.8833569288253784,0.8241078470512907,0.8053791578700931
CA_sgd,balanced,10,False,0.3999171853065491,1887.0,570.0,1462.0,145.0,0.8240649700164795,0.7680097818374634,0.9286417365074158,0.8939995169639587,0.8407217743287339,0.8150014511430459
CA_sgd,balanced,1,False,0.49367156624794,1699.0,504.0,1528.0,333.0,0.7940452694892883,0.7712210416793823,0.8361220359802246,0.8612259030342102,0.8023612588031612,0.7917054808274262
CA_sgd,expanded,3,False,0.4589538872241974,4635.0,1452.0,4039.0,850.0,0.790269672870636,0.7614588737487793,0.8450319170951843,0.861743688583374,0.8010715723244617,0.7874172037516891
CA_sgd,balanced,100,False,0.3551935851573944,1804.0,420.0,1608.0,232.0,0.8395669460296631,0.8111510872840881,0.8860510587692261,0.9155086874961852,0.8469483512982761,0.834669956125244
CA_sgd,expanded,1,False,0.5041216015815735,4062.0,1061.0,4427.0,1426.0,0.7734147310256958,0.7928947806358337,0.740160346031189,0.8495542407035828,0.7656205768381472,0.774501074249446
CA_sgd,balanced,25,False,0.3973605930805206,1899.0,565.0,1464.0,136.0,0.8275098204612732,0.770698070526123,0.9331695437431335,0.8986757397651672,0.8441876127154607,0.818181834849818
CA_sgd,expanded,25,False,0.4486344754695892,4844.0,1430.0,4059.0,643.0,0.8111333847045898,0.7720752358436584,0.8828139305114746,0.8766491413116455,0.8237394835412746,0.805766570306008
CA_sgd,expanded,50,False,0.4415971934795379,4279.0,995.0,4491.0,1211.0,0.7990160584449768,0.8113386631011963,0.779417097568512,0.8796690106391907,0.795057596614609,0.8004115274649218
CA_sgd,expanded,10,False,0.4618213474750519,4830.0,1574.0,3917.0,655.0,0.7969205379486084,0.7542161345481873,0.8805834054946899,0.8660633563995361,0.8125157806468001,0.7921062835593973
CA_sgd,balanced,3,False,0.4327052533626556,1691.0,453.0,1580.0,340.0,0.8048720359802246,0.7887126803398132,0.8325947523117065,0.8804613351821899,0.8100598634260057,0.8028168882483021
CA_sgd,balanced,50,False,0.3700969219207763,1735.0,381.0,1648.0,300.0,0.8324310779571533,0.8199433088302612,0.8525798320770264,0.9104739427566528,0.8359431465635389,0.8305409355987418
CA_adam,balanced,25,False,2.189502239227295,1799.0,286.0,1746.0,233.0,0.8722932934761047,0.8628297448158264,0.8853346705436707,0.8949100971221924,0.8739373495423886,0.8702031741163327
CA_adam,expanded,3,False,8.248109817504883,4009.0,1301.0,4187.0,1479.0,0.7467201352119446,0.7549905776977539,0.7305029034614563,0.7625714540481567,0.7425449065772657,0.7466476203506905
CA_adam,balanced,10,False,6.069069862365723,1787.0,384.0,1646.0,247.0,0.844734251499176,0.8231229782104492,0.8785644173622131,0.8569910526275635,0.8499405491871185,0.840809283974136
CA_adam,balanced,50,False,1.5814979076385498,1881.0,347.0,1683.0,153.0,0.876968502998352,0.8442549109458923,0.9247787594795228,0.9026852250099182,0.8826841707781443,0.8694915064185695
CA_adam,balanced,1,False,43.19907379150391,1627.0,603.0,1431.0,403.0,0.7524606585502625,0.7295964360237122,0.80147784948349,0.7549777030944824,0.7638497858271983,0.7520801448720077
CA_adam,balanced,100,False,0.8302752375602722,1679.0,221.0,1811.0,353.0,0.8587598204612732,0.8836842179298401,0.8262795209884644,0.9171805381774902,0.8540183112397786,0.8636831298938275
CA_adam,expanded,25,False,1.3387569189071655,3980.0,908.0,4582.0,1506.0,0.7800655961036682,0.814238965511322,0.7254830598831177,0.8468350768089294,0.7673028851086168,0.7823352243218683
CA_adam,expanded,50,False,0.7631823420524597,4074.0,663.0,4823.0,1416.0,0.8105867505073547,0.8600379824638367,0.7420765161514282,0.892205536365509,0.7967145798084798,0.816760220175384
CA_adam,balanced,3,False,18.838003158569336,1582.0,362.0,1669.0,451.0,0.7999507784843445,0.8137860298156738,0.7781603336334229,0.8048199415206909,0.7955745532727329,0.8015537982915569
CA_adam,expanded,10,False,2.914803028106689,4615.0,1293.0,4196.0,872.0,0.8027514815330505,0.7811442017555237,0.8410789370536804,0.8302179574966431,0.8100043935761593,0.8001502633427966
CA_adam,expanded,1,False,42.83740234375,3755.0,1334.0,4158.0,1729.0,0.7209365963935852,0.7378659844398499,0.6847192049026489,0.7247540950775146,0.7102998315677331,0.7192568072796268
CA_adam,expanded,100,False,0.5237974524497986,4861.0,1221.0,4265.0,629.0,0.8314504623413086,0.799243688583374,0.8854280710220337,0.9009071588516236,0.8401313709023847,0.8260451080837746
